## Las primeras 500 lineas corresponden a la esfera 1 
##las siguienets 500 lineas a la esfera 2
## Las primeras tres columnas corresponden a la posición en 'x', 'y' y 'z', las siguientes tres a las velocidades
79.999 	-2.037 	48.668 	-0.230 	-0.043 	-0.099 	
59.543 	-52.007 	27.648 	-0.004 	0.065 	-0.068 	
15.459 	-36.119 	48.849 	0.005 	0.142 	-0.020 	
-1281.105 	1533.498 	-234.328 	-0.337 	0.401 	-0.072 	
-39.647 	32.059 	94.283 	-0.035 	0.033 	-0.021 	
57.236 	-47.907 	18.451 	-0.101 	-0.039 	0.067 	
27.637 	-7.720 	-31.732 	0.053 	-0.024 	0.125 	
34.272 	-3.732 	24.561 	-0.161 	0.096 	-0.112 	
-25.387 	-42.762 	43.143 	0.061 	0.049 	0.071 	
89.720 	-7.682 	55.143 	-0.125 	-0.112 	-0.028 	
-249.818 	1355.800 	-730.363 	-0.072 	0.381 	-0.204 	
24.684 	-32.552 	51.687 	0.043 	0.107 	-0.002 	
965.449 	-1285.448 	908.909 	0.266 	-0.351 	0.251 	
76.624 	-37.987 	28.329 	0.043 	-0.241 	0.013 	
3.728 	-65.114 	21.048 	-0.220 	0.081 	-0.005 	
-4.040 	-88.802 	44.078 	0.084 	-0.017 	0.070 	
-19.950 	-71.498 	61.391 	-0.173 	-0.005 	-0.067 	
133.856 	-104.244 	44.903 	-0.059 	0.053 	0.188 	
1.639 	-43.473 	19.619 	0.025 	0.101 	0.158 	
-15.265 	8.738 	65.343 	-0.006 	0.100 	0.067 	
-14.620 	-24.057 	81.930 	0.024 	0.172 	0.038 	
-89.331 	-6.039 	75.551 	0.013 	0.099 	0.073 	
19.745 	-35.847 	24.026 	0.062 	-0.205 	0.108 	
-31.072 	41.952 	-27.107 	-0.014 	-0.050 	0.048 	
120.853 	-38.187 	22.645 	0.086 	-0.008 	-0.079 	
96.392 	-30.649 	58.580 	0.069 	0.012 	-0.046 	
73.346 	-42.712 	36.186 	0.050 	0.126 	0.012 	
46.959 	-16.873 	24.355 	0.057 	0.196 	0.039 	
-107.839 	-38.879 	-74.785 	-0.125 	-0.007 	0.030 	
-37.317 	-41.660 	-28.569 	0.044 	-0.048 	0.088 	
-122.738 	130.149 	11.323 	-0.075 	0.019 	0.014 	
31.743 	-30.035 	34.558 	-0.021 	0.050 	0.223 	
7.273 	-30.702 	15.910 	-0.030 	0.087 	0.018 	
40.801 	-25.546 	36.782 	0.114 	0.026 	0.133 	
39.249 	-6.349 	12.509 	0.131 	0.090 	0.048 	
